,tweet_id,text,rating_numerator,rating_denominator,name,rating,date,time,jpg_url,breed_prediction,prediction_confidence,retweet_count,favorite_count,dog_stages
0,892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13.0,10.0,Phineas,1.3,2017-08-01,16:23:56,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,,,6890,32957,
1,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10.0,Tilly,1.3,2017-08-01,00:17:27,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581,5193,28501,
2,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,1.2,2017-07-31,00:18:03,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012,3426,21430,
3,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10.0,Darla,1.3,2017-07-30,15:58:51,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador retriever,0.168086,7102,35962,
4,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,1.2,2017-07-29,16:00:24,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712,7620,34381,
5,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,,1.3,2017-07-29,00:08:17,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake Bay retriever,0.425595,2552,17310,
6,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,1.3,2017-07-28,16:27:12,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.34170300000000003,1622,10096,
7,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,,1.3,2017-07-28,00:22:40,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142,15479,55487,
8,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,1.3,2017-07-27,16:25:51,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish terrier,0.487574,3565,23875,
9,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,1.4,2017-07-26,15:59:51,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319,5999,27230,doggo
10,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,10.0,Koda,1.3,2017-07-26,00:31:25,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,0.957979,6046,26345,
11,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,10.0,Bruno,1.3,2017-07-25,16:11:53,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French bulldog,0.377417,4090,23899,
12,889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13.0,10.0,,1.3,2017-07-25,01:55:32,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,0.966327,8202,40979,puppo
13,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12.0,10.0,Ted,1.2,2017-07-25,00:10:02,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French bulldog,0.99165,3659,23078,
14,889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13.0,10.0,Stuart,1.3,2017-07-24,17:02:04,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden retriever,0.953442,1855,13008,puppo
15,889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13.0,10.0,Oliver,1.3,2017-07-24,00:19:32,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,0.626152,4375,21506,
16,888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12.0,10.0,Jim,1.2,2017-07-23,00:22:39,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden retriever,0.714719,3697,24965,
17,888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13.0,10.0,Zeke,1.3,2017-07-22,16:56:37,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden retriever,0.46976,3468,21876,
18,888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13.0,10.0,Ralphus,1.3,2017-07-22,00:23:06,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian husky,0.700377,2839,16881,
